instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,strategy_short,mu_car,mu_ebike
route438_mu_c0.0035_e0.0159,Frequency-only MILP,11.17717552534944,11.17717552534944,1.0292517175900214e-16,0.29285984241412194,3127.26617381089,7551.1040012086,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.0,6.6,41.884353084346714,0.9985523000359535,0.0,,19,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,2",F,0.0035,0.015888888888888886
route438_mu_c0.0035_e0.0159,Joint MILP,11.108129920171411,11.068222084577757,0.1995391779682699,0.2987124366190387,3189.762348551696,7488.607846454171,6.651364567039904,0.1995391779682698,1.0,0.963840023380738,28,4.6,7.1,40.85679365013622,2.7297156997956336,0.09498496696100225,,19,True,111111111111101111111110111111,"5,4,4,5,5,5,5,5,6,2",MILP,0.0035,0.015888888888888886
route438_mu_c0.0035_e0.0179,Current practice,11.302606555275267,11.302606555275267,1.0292517175900214e-16,0.28487990198410773,3042.0534059213246,7636.315226814547,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,42.41752418178611,0.014419000130146742,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.017944444444444443
route438_mu_c0.0035_e0.0179,Stop-only MILP,11.178894946786212,11.106694121379169,0.36100412703521195,0.2946154563573418,3146.013271581771,7532.355424541353,6.812829516106845,0.3610041270352118,1.0,0.9017841550688541,28,3.7,8.55,41.37384455034681,1.3331795996055007,0.005101934997861559,,18,True,101110111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.017944444444444443
route438_mu_c0.0035_e0.0179,Frequency-only MILP,11.149074058927114,11.149074058927114,1.0292517175900214e-16,0.29432970337680964,3142.961895118827,7535.4083212748155,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.0,6.6,42.4329865653937,0.9318298995494843,0.0013212523806044225,,19,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,2",F,0.0035,0.017944444444444443
route438_mu_c0.0035_e0.0179,Joint MILP,10.952977834624987,10.908999516188356,0.21989159218315094,0.30719648821178563,3280.358202678211,7398.012055456923,6.671716981254784,0.21989159218315085,1.0,1.3277953372173068,27,4.6,7.1,40.8672639827281,2.7037193002179265,0.07718952077529359,,19,True,111111101111111111111110101111,"5,4,4,5,5,5,5,5,6,2",MILP,0.0035,0.017944444444444443
route438_mu_c0.0035_e0.0200,Current practice,11.27421604368342,11.27421604368342,1.0292517175900214e-16,0.28639234032612987,3058.2037843002495,7620.1649311517685,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,42.97078158262691,0.014776399824768305,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.0035,0.02
route438_mu_c0.0035_e0.0200,Stop-only MILP,11.49281345376907,11.315348035377822,0.8873270919562402,0.2862125458662193,3056.2838722765255,7622.084848326657,7.339152481027875,0.8873270919562398,1.0,3.2728817933405296,28,3.7,8.55,42.03703015868616,1.87942919973284,0.007215042614761821,,18,True,111101111101111111111111111111,"3,5,5,3,3,3,3,4,5,3",S,0.0035,0.02
route438_mu_c0.0035_e0.0200,Frequency-only MILP,11.121304162464863,11.121304162464863,1.0292517175900214e-16,0.29578827270014757,3158.53704010775,7519.833213751863,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.0,6.6,42.97792356893239,0.9442723002284765,0.0056670620722903235,,19,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,2",F,0.0035,0.02
route438_mu_c0.0035_e0.0200,Joint MILP,10.54625767664087,10.410796412421307,0.6773063210978179,0.3341351885297439,3568.0196504763444,7110.350716218784,7.129131710169451,0.6773063210978179,1.0,1.3277953372173068,24,5.3,6.385714285714285,39.78692642301509,2.711558199953288,0.05572609029162517,,19,True,101110101111101111111110101111,"5,7,7,5,5,5,5,5,7,2",MILP,0.0035,0.02
route438_mu_c0.0047_e0.0015,Current practice,11.521571078255175,11.521571078255175,1.0292517175900214e-16,0.2733923204866168,2919.384743875132,7758.983019866486,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,38.24667639395501,0.014955900143831968,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.004666666666666667,0.0015
route438_mu_c0.0047_e0.0015,Stop-only MILP,10.694229765501518,10.594524190873425,0.4985278731404669,0.32447497308560774,3464.8642818838366,7213.50380678011,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,34.34254267017245,0.6374961999244988,0.0,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.004666666666666667,0.0015
route438_mu_c0.0047_e0.0015,Frequency-only MILP,10.685277743397167,10.685277743397167,1.0292517175900214e-16,0.3189897177898658,3406.2906884553654,7272.077370257833,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,38.22407465476986,0.7504603997804224,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.004666666666666667,0.0015
route438_mu_c0.0047_e0.0015,Joint MILP,9.78880540174664,9.72397817452526,0.3241361361068913,0.3727409772479294,3980.266601702081,6698.1017702850895,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,23,5.6,5.485714285714286,34.795990973361604,2.7214965000748634,0.0012047248409651993,,18,True,101101101111101111111110101011,"5,7,7,5,5,5,5,5,7,5",MILP,0.004666666666666667,0.0015
route438_mu_c0.0047_e0.0036,Current practice,11.490379535607273,11.490379535607273,1.0292517175900214e-16,0.2750081879870931,2936.6395772245746,7741.72835712219,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,38.82839833991371,0.015297699719667435,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.004666666666666667,0.0035555555555555553
route438_mu_c0.0047_e0.0036,Stop-only MILP,10.663191461818805,10.563485887190712,0.4985278731404669,0.3261567034456189,3482.822423310741,7195.54583754896,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,34.88379795717795,0.6410439000464976,0.0,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.004666666666666667,0.0035555555555555553
route438_mu_c0.0047_e0.0036,Frequency-only MILP,10.654078333598662,10.654078333598662,1.0292517175900214e-16,0.3206818507866486,3424.3599131015544,7254.008318370623,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,38.76970171124536,0.7403172999620438,0.0,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.004666666666666667,0.0035555555555555553
