instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,n_stops,instance_id,origins,destinations,od_pairs,periods,total_demand
synthetic_24_stops_s413,MILP approximation,7.1268801585171495,7.0778477851207935,0.14009249541816118,0.5355780897084392,7099.744587401416,6156.478684933192,8.427577040406653,0.1400924954181611,1.0000000000000002,0.3778698241931015,17,5.6,5.4,37.2967058139356,6.309559699613601,0.0862372622048701,,17,True,110111101101101011011101,"6,5,6,5,6",24,I14,14,16,224,5,13256.226727397327
synthetic_28_stops_s414,All-stops baseline,9.790614551880795,9.790614551880795,1.1227782165801924e-16,0.3630520602362216,7332.279914595328,12863.939669300882,7.543220651324351,-4.4061749190767274e-17,1.0,0.0,28,2.8333333333333335,11.666666666666666,47.71929488219013,0.005937099922448397,,,18,True,1111111111111111111111111111,"4,3,4,2,2,2",28,I15,17,19,323,6,20196.221747989926
synthetic_28_stops_s414,Greedy removal,8.854508499997577,8.777681765411108,0.2195049559613401,0.4198689841476274,8479.76710894875,11716.452742266025,7.762725607285691,0.21950495596133995,1.0,0.0,20,2.8333333333333335,11.666666666666666,42.98286636826234,0.7371410001069307,,,18,True,1101101110110111101011011011,"4,3,4,2,2,2",28,I15,17,19,323,6,20196.221747989926
synthetic_28_stops_s414,Local search,8.788120966771821,8.788120966771821,1.1227782165801924e-16,0.4195063661468305,8472.443595394843,11723.776468769383,7.543220651324351,-4.4061749190767274e-17,1.0,0.0,27,4.0,7.5,46.30571351426812,11.164072200190276,,,18,True,1111111110111111111111111111,"4,4,4,4,4,4",28,I15,17,19,323,6,20196.221747989926
synthetic_28_stops_s414,MILP approximation,7.463958813256601,7.420715636443475,0.12355193375178757,0.4990784193710155,10079.49842725334,10116.721858181012,7.666772585076137,0.12355193375178743,1.0,0.0,20,5.0,6.0,41.754461560111395,6.269566299859434,0.08891698563561479,,18,True,1111101101010111101011011011,"5,5,5,5,5,5",28,I15,17,19,323,6,20196.221747989926
synthetic_12_stops_s415,All-stops baseline,6.505058021384791,6.505058021384791,9.881447026600056e-17,0.4841798447752064,2511.857278335592,2676.0004674064157,6.418216015612624,-2.416194380844031e-17,1.0,0.0,12,3.25,10.0,29.387297528095836,0.002064500004053116,,,17,True,111111111111,"4,3,4,2",12,I16,7,12,84,4,5187.860059523522
synthetic_12_stops_s415,Greedy removal,6.393364416453346,6.393364416453346,9.881447026600056e-17,0.49251205230168066,2555.083604969849,2632.7741772149348,6.418216015612624,-2.416194380844031e-17,1.0,0.0,11,3.25,10.0,28.902310280083192,0.03657579980790615,,,17,True,111110111111,"4,3,4,2",12,I16,7,12,84,4,5187.860059523522
synthetic_12_stops_s415,Local search,5.295650533077137,5.295650533077137,9.881447026600056e-17,0.5770073471666305,2993.433370417385,2194.424795297068,6.418216015612624,-2.416194380844031e-17,1.0,0.0,11,6.0,5.0,28.59381037206733,27.532077999785542,,,17,True,111110111111,"6,6,6,6",12,I16,7,12,84,4,5187.860059523522
synthetic_12_stops_s415,MILP approximation,5.181549239344198,5.181549239344198,9.881447026600056e-17,0.5853815666680644,3036.877649298557,2150.9805452961555,6.418216015612624,-2.416194380844031e-17,1.0,0.0,11,6.5,4.642857142857142,28.580868237317986,0.5678921001963317,0.009872244401803523,,17,True,111110111111,"7,6,7,6",12,I16,7,12,84,4,5187.860059523522
synthetic_16_stops_s416,All-stops baseline,7.672502873326295,7.672502873326295,1.4282243208004593e-16,0.4279289891907204,3241.1099153607493,4332.8318979756505,7.390205378360687,7.143595729523012e-17,1.0,0.0,16,3.0,11.0,33.06461638389992,0.0032524000853300095,,,18,True,1111111111111111,"4,3,4,2,2",16,I17,10,11,110,5,7573.943334594337
